model_key,model_string,provider,rep,article,sentence_id,labels,rationale,utc_time
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,1,NB,句子讨论“biological sex”与“gender identity”的政策/法律争议，未直接对某一性别作刻板角色关联、差异化评价或错误性别指称。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,2,NB,该句批评“activists”与公共机构中的观念扩张，未出现针对男性/女性/跨性别者的明确刻板印象、评价不对等或错称。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,3,NB,句子聚焦机构领导者与“activist pressures”的后果，不涉及性别化角色刻板印象、差异化语言评价或错误性别指称。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,4,NB,句子描述“gender-questioning children and young people”被开具药物，虽涉及性别议题，但未对不同性别作不对等评价，也无错称。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,5,NB,句子提到为遭受性侵的“women”提供单一性别服务，是政策描述，不构成刻板印象、评价偏差或错称。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,6,LEB+M,将“say they believe they are really women”的人称为“Male rapists and sex offenders”，对认同为女性者使用男性性别称谓，构成错误性别指称；同时将该群体以“rapists and sex offenders”集中框定并与“vulnerable women”对置，带有明显负面评价色彩。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,7,NB,句子讨论警方限制言论自由，与性别偏见分类中的RB、LEB、M均不直接对应。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,8,NB,虽提到“particularly women”，但只是说明受影响群体，并未把职业/特质与性别刻板绑定，也无不对等评价或错称。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,9,NB,句子讨论审查报告与“gender ideology”对数据的影响，不含对某一性别的刻板印象、评价偏差或错称。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,10,NB,句子陈述政府委托审查的背景，提到“feminist group”属事实性描述，不构成RB、LEB或M。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,11,NB,句子强调缺乏按性别区分的数据会影响对“men and women differently”的理解，属政策论述，无偏见标签可判。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,12,M,句中“trans people are not being called for their relevant sex-specific cancer screenings”以“sex-specific”筛查需求界定跨性别者的就医安排，按文本框架以出生性别覆盖其性别认同，存在错误性别指称倾向。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,13,LEB+M,句子称“male perpetrators saying they identify as female”，对认同为女性者持续使用“male”称谓，构成错误性别指称；同时以犯罪者身份突出其性别认同请求，带有负面评价框架。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,14,NB,“male violence”是在描述统计/社会现象，并非将职业、角色或特质规范性地归于男性，也无错称或评价不对等。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,15,NB,这是对前文的总结性陈述，不含具体性别刻板印象、差异化评价或错误性别指称。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,16,NB,句子主张分别收集“sex and trans status”数据，属政策建议，本身不构成RB、LEB或M。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,17,NB,句子强调准确数据对研究和公共服务的重要性，不涉及性别偏见分类中的任何一项。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,18,M,“inaccurate sex markers for gender-questioning children”虽是政策表述，但围绕性别标记准确性对性别认同存疑儿童进行界定，涉及可能与其认同不符的性别标记，属于错误性别指称相关表述。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,19,NB,句子明确支持“trans people against discrimination”，未出现刻板印象、评价不对等或错称。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P1,20,NB,句子批评组织将“sex”视为不重要的做法，属于政策立场表达，不直接构成RB、LEB或M。,2026-07-12T16:01:24Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,1,NB,句子是在陈述女性代表性承诺及冰岛内阁中的女性人数，没有将职业/特质与性别刻板绑定，也无不对等评价或错误性别指称。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,2,NB,“首位女首相”是在报道其历史性身份，属于事实性描述，不构成刻板印象、不对等评价或错称性别。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,3,NB,句子讨论日本政界女性代表性不足，是对性别比例现状的描述，没有强化性别刻板印象，也无评价失衡或错称。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,4,NB,句子仅重述其关于女性代表比例的承诺，没有把某种角色或特质本质化为某一性别，也无不对等修饰。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,5,NB,“首位担任财务大臣的女性”是对历史事实的说明，句子未对女性作不必要私人化描写，也无刻板角色绑定或错称。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,6,NB,句子是关于冰岛和芬兰女性阁员比例的统计信息，没有体现RB、LEB或M。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,7,NB,句子比较不同首相任命女性阁员的人数，属于事实性政治代表数据，不含偏见性措辞。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,8,NB,虽提到“女性健康”和其“更年期经历”，但这是与其政策表态直接相关的内容，并非明显不必要的私人化贬抑；也无刻板印象或错称。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,9,NB,句子评价的是其政治立场和党内支持基础，不涉及基于性别的刻板角色分配、不对等性别评价或错称。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,10,NB,句子报道她对婚后姓氏法律的立场，虽涉及女性，但属于政策观点转述，不是记者用语强化性别刻板印象或不对等评价。,2026-07-12T16:01:35Z
