句子,标注者1,标注者2,标注者3,标注者4,标注者5,标注者6,标注者7,标注者8,标注者9,标注者10,标注者11,标注者12,标注者13,标注者14,标注者15,标注者16,标注者17,标注者18,标注者19,标注者20,标注者21,标注者22,标注者23,标注者24,标注者25,标注者26,标注者27,标注者28,标注者29,标注者30
"1.The idea that the reality of people’s biological sex is immaterial in society, and that it can be replaced by the concept of gender identity – whether someone feels male or female – is a highly contested belief system that does not reflect British equalities law. 认为人们的生理性别在社会中无关紧要，并可以被性别认同——即一个人觉得自己是男性还是女性——所取代的观点，是一种备受争议的观念体系，与英国的平等法律不符。",NB,M,RB,NB,M,LEB┋M,NB,RB,LEB,RB┋LEB,RB,NB,RB,NB,NB,RB┋LEB,RB,RB┋M,NB,RB┋M,NB,RB┋LEB,NB,NB,NB,M,NB,NB,RB,M
"2.Yet in recent years, it has come to dominate sections of the public sphere spanning institutions as diverse as the NHS, the police and universities, as activists have sought to impose this personal belief on everyone. 然而，近年来，这种观点却在公共领域的各个方面占据主导地位，影响范围涵盖了包括英国国家医疗服务体系（NHS）、警察部门和大学在内的众多机构，因为一些激进分子试图将这种个人信仰强加于所有人。",NB,LEB,LEB,NB,RB,LEB,NB,NB,M,NB,NB,NB,RB┋LEB,NB,NB,LEB,NB,RB,NB,RB┋M,NB,NB,LEB,NB,NB,LEB,NB,NB,RB,NB
3.The extent to which leaders in those institutions have caved in to activist pressures has led to real-world detriment.这些机构的领导者屈服于激进分子的压力，其程度之深已造成了现实世界的损害。,NB,LEB,RB,NB,RB┋LEB,RB,NB,NB,NB,M,LEB,NB,RB┋LEB,NB,NB,RB,NB,NB,NB,RB,NB,RB┋LEB,LEB,NB,NB,LEB,NB,NB,RB,NB
4.Gender-questioning children and young people have been prescribed untested drugs with harmful side effects by NHS clinicians.英国国家医疗服务体系（NHS）的临床医生给一些对自身性别认同感到困惑的儿童和青少年开了未经检验、副作用有害的药物。,NB,M,LEB,NB,RB┋LEB,NB,NB,LEB┋M,M,RB,M,NB,RB┋LEB,NB,NB,LEB,NB,RB┋M,NB,M,NB,RB┋M,NB,NB,NB,RB┋M,NB,NB,RB┋LEB┋M,NB
5.Rape crisis services have failed to provide women who have been sexually assaulted with single-sex services.强奸危机服务机构未能为遭受性侵犯的女性提供单一性别的服务。,NB,M,LEB,RB,M,LEB,RB,RB┋LEB,M,LEB,RB,LEB,RB┋LEB,LEB,LEB,RB┋LEB,RB┋LEB,NB,LEB,LEB,NB,NB,NB,RB,NB,RB┋LEB┋M,NB,NB,RB┋LEB┋M,RB
6.Male rapists and sex offenders who say they believe they are really women have been locked up in female prisons with vulnerable women.声称自己是女性的男性强奸犯和性犯罪者被关押在女子监狱，与弱势女性关在一起。,NB,M,LEB,M,M,M,LEB,RB┋LEB,M,M,RB┋NB,M,RB┋LEB,LEB┋M,M,RB┋LEB,RB┋LEB,RB┋M,LEB,M,LEB,RB,M,M,M,RB,M,NB,RB┋LEB┋M,M
7.The police have unlawfully tried to discourage people who believe biological sex is real from exercising their democratic right to free speech.警方非法地试图阻止那些相信生理性别真实存在的人行使他们的民主言论自由权。,NB,M,RB┋LEB,NB,RB┋LEB,NB,RB,LEB┋M,M,RB,LEB┋M,NB,RB┋LEB,NB,RB,LEB,NB,RB┋LEB,NB,M,NB,NB,NB,NB,NB,RB┋LEB┋M,NB,NB,RB┋LEB,NB
8.Employment tribunal rulings illustrate how many people – particularly women – who have refused to comply with this belief system have been bullied and hounded out of their workplaces.就业法庭的裁决表明，许多拒绝接受这种信仰体系的人——尤其是女性——遭到欺凌，被迫离开工作场所。,NB,RB┋LEB,LEB,RB┋LEB,RB,RB,RB,RB┋LEB,RB,NB,RB┋LEB,LEB,RB┋LEB,LEB,LEB,RB┋LEB,LEB,RB,RB┋LEB,LEB,NB,RB,RB,RB,RB,RB,RB,NB,RB┋LEB,RB┋LEB
9.And now a new government-commissioned review led by Prof Alice Sullivan of University College London has highlighted the extent to which official data sources have been corrupted by gender ideology.现在，由伦敦大学学院的爱丽丝·沙利文教授领导的一项由政府委托开展的新审查，揭示了官方数据来源在多大程度上受到了性别意识形态的腐蚀。,NB,RB┋LEB,LEB,NB,RB┋LEB┋M┋NB,NB,NB,RB┋LEB┋M,NB,RB,M,NB,RB┋NB,NB,NB,LEB,NB,LEB,NB,M,NB,LEB,LEB,NB,NB,LEB,NB,NB,RB┋LEB,NB
10.Sullivan was commissioned to lead this review by the last government after the Office for National Statistics had to be taken to court by a grassroots feminist group to try to get it to collect accurate data on sex in the 2021 census.在国家统计局因未能收集 2021 年人口普查中准确的性别数据而被基层女权主义团体告上法庭后，上届政府委托苏利文领导这项审查。,NB,RB,NB,NB,RB┋LEB,LEB,NB,RB┋LEB,NB,LEB,RB,NB,RB,NB,NB,NB,NB,LEB,LEB,M,NB,NB,RB,NB,NB,RB┋M,NB,NB,RB┋LEB┋M,NB
