句子ID,英文句子,中文翻译,RB (标注人数),LEB (标注人数),M (标注人数),NB (标注人数),总标注次数,参与标注被试数
句子1,"The idea that the reality of people’s biological sex is immaterial in society, and that it can be replaced by the concept of gender identity – whether someone feels male or female – is a highly contested belief system that does not reflect British equalities law.",认为人们的生理性别在社会中无关紧要，并可以被性别认同——即一个人觉得自己是男性还是女性——所取代的观点，是一种备受争议的观念体系，与英国的平等法律不符。,11,5,7,13,36,30
句子2,"Yet in recent years, it has come to dominate sections of the public sphere spanning institutions as diverse as the NHS, the police and universities, as activists have sought to impose this personal belief on everyone.",然而，近年来，这种观点却在公共领域的各个方面占据主导地位，影响范围涵盖了包括英国国家医疗服务体系（NHS）、警察部门和大学在内的众多机构，因为一些激进分子试图将这种个人信仰强加于所有人。,5,7,2,18,32,30
句子3,The extent to which leaders in those institutions have caved in to activist pressures has led to real-world detriment.,这些机构的领导者屈服于激进分子的压力，其程度之深已造成了现实世界的损害。,8,7,1,17,33,30
句子4,Gender-questioning children and young people have been prescribed untested drugs with harmful side effects by NHS clinicians.,英国国家医疗服务体系（NHS）的临床医生给一些对自身性别认同感到困惑的儿童和青少年开了未经检验、副作用有害的药物。,7,6,9,16,38,30
句子5,Rape crisis services have failed to provide women who have been sexually assaulted with single-sex services.,强奸危机服务机构未能为遭受性侵犯的女性提供单一性别的服务。,11,14,5,8,38,30
句子6,Male rapists and sex offenders who say they believe they are really women have been locked up in female prisons with vulnerable women.,声称自己是女性的男性强奸犯和性犯罪者被关押在女子监狱，与弱势女性关在一起。,9,10,17,3,39,30
句子7,The police have unlawfully tried to discourage people who believe biological sex is real from exercising their democratic right to free speech.,警方非法地试图阻止那些相信生理性别真实存在的人行使他们的民主言论自由权。,9,9,6,15,39,30
句子8,Employment tribunal rulings illustrate how many people – particularly women – who have refused to comply with this belief system have been bullied and hounded out of their workplaces.,就业法庭的裁决表明，许多拒绝接受这种信仰体系的人——尤其是女性——遭到欺凌，被迫离开工作场所。,20,15,0,4,39,30
句子9,And now a new government-commissioned review led by Prof Alice Sullivan of University College London has highlighted the extent to which official data sources have been corrupted by gender ideology.,现在，由伦敦大学学院的爱丽丝·沙利文教授领导的一项由政府委托开展的新审查，揭示了官方数据来源在多大程度上受到了性别意识形态的腐蚀。,6,10,4,18,38,30
句子10,Sullivan was commissioned to lead this review by the last government after the Office for National Statistics had to be taken to court by a grassroots feminist group to try to get it to collect accurate data on sex in the 2021 census.,在国家统计局因未能收集 2021 年人口普查中准确的性别数据而被基层女权主义团体告上法庭后，上届政府委托苏利文领导这项审查。,8,7,3,17,35,30
句子11,"Her report lays bare the extent to which ideologically captured institutions are today failing to collect critical data on sex in a way that allows us to understand how important social trends are affecting men and women differently, and the harms this is causing.",她的报告揭露了如今受意识形态控制的机构在多大程度上未能收集到有关性的重要数据，以至于我们无法了解重要的社会趋势如何以不同的方式影响男性和女性，以及这造成的危害。,7,7,7,15,36,30
句子12,"In healthcare, the NHS is failing to accurately record people’s sex on patient records so that trans people are not being called for their relevant sex-specific cancer screenings, while medical samples, such as blood tests, are incorrectly assessed or even rejected by laboratories.",在医疗保健领域，英国国民医疗服务体系（NHS）未能准确记录患者病历中的性别，导致跨性别者无法接受与其性别相关的癌症筛查;同时，血液检测等医学样本也经常被实验室错误评估甚至拒收。,4,7,5,19,35,30
句子13,"Many police forces are recording male crimes as committed by women on the basis of requests from male perpetrators saying they identify as female, only appearing to shift this policy late last year.","许多警方根据自称女性的男性犯罪嫌疑人的要求，将男性犯罪记录为女性犯罪,直到去年年底才似乎改变了这一政策。",9,9,16,5,39,30
句子14,This undermines societal understanding of male violence.,这损害了社会对男性暴力行为的认知。,14,14,2,9,39,30
句子15,These are just a few examples of the harms caused by failing to collect data on sex.,以上仅列举了未能收集性别数据所造成的部分危害。,5,6,6,20,37,30
句子16,"Organisations must collate data on sex and trans status separately, and not conflate the two.",各机构必须分别收集性别和跨性别身份数据，切勿将二者混为一谈。,3,6,6,19,34,30
句子17,"In its response to the review, the government has made clear it believes the collection of accurate data, including on sex, is vital to research, and to the provision of public services.",政府在对审查报告的回应中明确表示，收集包括性别在内的准确数据对于研究和公共服务至关重要。,5,6,3,21,35,30
句子18,"That is most welcome, but ministers now need to promptly implement its recommendations; health secretary Wes Streeting has already instructed the NHS to stop issuing new health records with inaccurate sex markers for gender-questioning children.",这一点值得欢迎，但部长们现在需要迅速落实相关建议;卫生大臣韦斯·斯特里廷已指示英国国家医疗服务体系（NHS）停止向性别认同存疑的儿童发放带有不准确性别标记的新健康记录。,6,8,6,17,37,30
句子19,It is important that society robustly upholds the Equality Act’s protections for trans people against discrimination.,社会必须切实维护《平等法》对跨性别者免受歧视的保护。,4,7,3,21,35,30
句子20,"But too many organisations continue to labour under the misapprehension that this means they must behave as though sex is immaterial or unimportant, in a way that causes significant harm and discriminates against other groups. A course correction is much needed and long overdue.",然而，太多组织仍然误以为这意味着他们必须漠视性别，这种做法不仅造成了严重的伤害，也歧视了其他群体。这种做法亟需纠正，而且早就应该进行了。,10,7,6,16,39,30
